lr-AdamW,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER
0.001,9,,,,,,,,,,,
,9,63.79784393310547,0,,,,,,,,,
0.001,19,,,,,,,,,,,
,19,186.47821044921875,0,,,,,,,,,
0.001,29,,,,,,,,,,,
,29,106.30438995361328,0,,,,,,,,,
0.001,39,,,,,,,,,,,
,39,38.48634338378906,0,,,,,,,,,
0.001,49,,,,,,,,,,,
,49,23.518476486206055,0,,,,,,,,,
0.001,59,,,,,,,,,,,
,59,10.861204147338867,0,,,,,,,,,
,59,,0,11.62545394897461,93.81922912597656,86.44217681884766,0.08861320465803146,7.288435935974121,,,,
0.001,69,,,,,,,,,,,
,69,11.241451263427734,0,,,,,,,,,
0.001,79,,,,,,,,,,,
,79,9.370542526245117,0,,,,,,,,,
0.001,89,,,,,,,,,,,
,89,7.425787925720215,0,,,,,,,,,
0.001,99,,,,,,,,,,,
,99,5.687504768371582,0,,,,,,,,,
0.001,109,,,,,,,,,,,
,109,4.797817230224609,0,,,,,,,,,
0.001,119,,,,,,,,,,,
,119,4.215839385986328,0,,,,,,,,,
,119,,0,4.588974475860596,99.20248413085938,98.47142028808594,0.0,0.7310589551925659,,,,
,119,,0,,,,,,153.52978515625,57.04926300048828,63.90789031982422,32.57263946533203
0.001,129,,,,,,,,,,,
,129,6.3419189453125,1,,,,,,,,,
0.001,139,,,,,,,,,,,
,139,5.101944923400879,1,,,,,,,,,
0.001,149,,,,,,,,,,,
,149,4.06561279296875,1,,,,,,,,,
0.001,159,,,,,,,,,,,
,159,3.5559515953063965,1,,,,,,,,,
0.001,169,,,,,,,,,,,
,169,3.714428424835205,1,,,,,,,,,
0.001,179,,,,,,,,,,,
,179,3.5814404487609863,1,,,,,,,,,
,179,,1,3.4383513927459717,100.0,100.0,0.0,0.0,,,,
0.001,189,,,,,,,,,,,
,189,3.743286609649658,1,,,,,,,,,
0.001,199,,,,,,,,,,,
,199,3.4138987064361572,1,,,,,,,,,
0.001,209,,,,,,,,,,,
,209,3.241285562515259,1,,,,,,,,,
0.001,219,,,,,,,,,,,
,219,3.1705868244171143,1,,,,,,,,,
0.001,229,,,,,,,,,,,
,229,3.2630767822265625,1,,,,,,,,,
0.001,239,,,,,,,,,,,
,239,3.1894547939300537,1,,,,,,,,,
,239,,1,3.2425742149353027,100.0,100.0,0.0,0.0,,,,
,239,,1,,,,,,98.73970031738281,95.27146911621094,0.40867263078689575,3.0595593452453613
0.001,249,,,,,,,,,,,
,249,3.1503562927246094,2,,,,,,,,,
0.001,259,,,,,,,,,,,
,259,3.561915874481201,2,,,,,,,,,
0.001,269,,,,,,,,,,,
,269,3.099581241607666,2,,,,,,,,,
0.001,279,,,,,,,,,,,
,279,3.224630832672119,2,,,,,,,,,
0.001,289,,,,,,,,,,,
,289,3.3468844890594482,2,,,,,,,,,
0.001,299,,,,,,,,,,,
,299,3.29856538772583,2,,,,,,,,,
,299,,2,3.232760190963745,100.0,100.0,0.0,0.0,,,,
0.001,309,,,,,,,,,,,
,309,3.3306167125701904,2,,,,,,,,,
0.001,319,,,,,,,,,,,
,319,3.2544455528259277,2,,,,,,,,,
0.001,329,,,,,,,,,,,
,329,3.1026525497436523,2,,,,,,,,,
0.001,339,,,,,,,,,,,
,339,3.0848772525787354,2,,,,,,,,,
0.001,349,,,,,,,,,,,
,349,3.1324477195739746,2,,,,,,,,,
0.001,359,,,,,,,,,,,
,359,3.080181121826172,2,,,,,,,,,
,359,,2,3.0222017765045166,100.0,100.0,0.0,0.0,,,,
,359,,2,,,,,,99.88854217529297,99.7990951538086,0.0,0.08944420516490936
0.001,369,,,,,,,,,,,
,369,3.3689379692077637,3,,,,,,,,,
0.001,379,,,,,,,,,,,
,379,3.024693012237549,3,,,,,,,,,
0.001,389,,,,,,,,,,,
,389,3.140475273132324,3,,,,,,,,,
0.001,399,,,,,,,,,,,
,399,3.1873764991760254,3,,,,,,,,,
0.001,409,,,,,,,,,,,
,409,3.179841995239258,3,,,,,,,,,
0.001,419,,,,,,,,,,,
,419,3.089719772338867,3,,,,,,,,,
,419,,3,3.0955352783203125,100.0,100.0,0.0,0.0,,,,
0.001,429,,,,,,,,,,,
,429,3.163794755935669,3,,,,,,,,,
0.001,439,,,,,,,,,,,
,439,3.082249641418457,3,,,,,,,,,
0.001,449,,,,,,,,,,,
,449,3.047800302505493,3,,,,,,,,,
0.001,459,,,,,,,,,,,
,459,2.9756712913513184,3,,,,,,,,,
0.001,469,,,,,,,,,,,
,469,3.0738015174865723,3,,,,,,,,,
0.001,479,,,,,,,,,,,
,479,3.111294746398926,3,,,,,,,,,
,479,,3,3.2029871940612793,100.0,100.0,0.0,0.0,,,,
,479,,3,,,,,,99.8553695678711,99.80439758300781,0.0013774674152955413,0.049588825553655624
0.001,489,,,,,,,,,,,
,489,2.9742302894592285,4,,,,,,,,,
0.001,499,,,,,,,,,,,
,499,3.002511978149414,4,,,,,,,,,
0.001,509,,,,,,,,,,,
