lr-AdamW,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER
0.001,9,,,,,,,,,,,
,9,0.25688692927360535,0,,,,,,,,,
0.001,19,,,,,,,,,,,
,19,0.2504197359085083,0,,,,,,,,,
0.001,29,,,,,,,,,,,
,29,0.27236324548721313,0,,,,,,,,,
0.001,39,,,,,,,,,,,
,39,0.26706355810165405,0,,,,,,,,,
0.001,49,,,,,,,,,,,
,49,0.31082290410995483,0,,,,,,,,,
0.001,59,,,,,,,,,,,
,59,0.32408902049064636,0,,,,,,,,,
,59,,0,0.873845636844635,17.14665412902832,4.142667293548584,2.0381035804748535,10.9658842086792,,,,
0.001,69,,,,,,,,,,,
,69,0.23420360684394836,0,,,,,,,,,
0.001,79,,,,,,,,,,,
,79,0.3728967607021332,0,,,,,,,,,
0.001,89,,,,,,,,,,,
,89,0.26756352186203003,0,,,,,,,,,
0.001,99,,,,,,,,,,,
,99,0.28840383887290955,0,,,,,,,,,
0.001,109,,,,,,,,,,,
,109,0.25287842750549316,0,,,,,,,,,
0.001,119,,,,,,,,,,,
,119,0.33318856358528137,0,,,,,,,,,
,119,,0,0.9038218259811401,17.035888671875,3.3894550800323486,2.1045634746551514,11.5418701171875,,,,
,119,,0,,,,,,9.01087760925293,3.0310938358306885,2.2056803703308105,3.7741031646728516
0.001,129,,,,,,,,,,,
,129,0.27374812960624695,1,,,,,,,,,
0.001,139,,,,,,,,,,,
,139,0.3697666525840759,1,,,,,,,,,
0.001,149,,,,,,,,,,,
,149,0.24613040685653687,1,,,,,,,,,
0.001,159,,,,,,,,,,,
,159,0.2466556429862976,1,,,,,,,,,
0.001,169,,,,,,,,,,,
,169,0.2610030472278595,1,,,,,,,,,
0.001,179,,,,,,,,,,,
,179,0.42719927430152893,1,,,,,,,,,
,179,,1,0.8807397484779358,16.326982498168945,3.234381914138794,2.1488702297210693,10.943730354309082,,,,
0.001,189,,,,,,,,,,,
,189,0.3209552764892578,1,,,,,,,,,
0.001,199,,,,,,,,,,,
,199,0.2525525987148285,1,,,,,,,,,
0.001,209,,,,,,,,,,,
,209,0.3515787124633789,1,,,,,,,,,
0.001,219,,,,,,,,,,,
,219,0.3457545042037964,1,,,,,,,,,
0.001,229,,,,,,,,,,,
,229,0.3443446755409241,1,,,,,,,,,
0.001,239,,,,,,,,,,,
,239,0.23512126505374908,1,,,,,,,,,
,239,,1,0.909340500831604,16.194063186645508,2.680549383163452,2.791315793991089,10.722197532653809,,,,
,239,,1,,,,,,9.081680297851562,3.10176420211792,2.2882542610168457,3.691661834716797
0.001,249,,,,,,,,,,,
,249,0.2868135869503021,2,,,,,,,,,
0.001,259,,,,,,,,,,,
,259,0.3322345018386841,2,,,,,,,,,
0.001,269,,,,,,,,,,,
,269,0.2501557469367981,2,,,,,,,,,
0.001,279,,,,,,,,,,,
,279,0.23808884620666504,2,,,,,,,,,
0.001,289,,,,,,,,,,,
,289,0.2795693278312683,2,,,,,,,,,
0.001,299,,,,,,,,,,,
,299,0.3273142874240875,2,,,,,,,,,
,299,,2,0.9349979162216187,17.611873626708984,3.566681385040283,2.3925564289093018,11.652636528015137,,,,
0.001,309,,,,,,,,,,,
,309,0.21079076826572418,2,,,,,,,,,
0.001,319,,,,,,,,,,,
,319,0.3039909303188324,2,,,,,,,,,
0.001,329,,,,,,,,,,,
,329,0.24160070717334747,2,,,,,,,,,
0.001,339,,,,,,,,,,,
,339,0.4146844744682312,2,,,,,,,,,
0.001,349,,,,,,,,,,,
,349,0.37621334195137024,2,,,,,,,,,
0.001,359,,,,,,,,,,,
,359,0.23834915459156036,2,,,,,,,,,
,359,,2,0.8849661946296692,16.770048141479492,3.566681385040283,1.9937970638275146,11.209569931030273,,,,
,359,,2,,,,,,9.293082237243652,3.1013615131378174,2.3132994174957275,3.8784210681915283
0.001,369,,,,,,,,,,,
,369,0.22753958404064178,3,,,,,,,,,
0.001,379,,,,,,,,,,,
,379,0.33908241987228394,3,,,,,,,,,
0.001,389,,,,,,,,,,,
,389,0.3449593782424927,3,,,,,,,,,
0.001,399,,,,,,,,,,,
,399,0.33863767981529236,3,,,,,,,,,
0.001,409,,,,,,,,,,,
,409,0.2771978974342346,3,,,,,,,,,
0.001,419,,,,,,,,,,,
,419,0.3703846335411072,3,,,,,,,,,
,419,,3,0.9212651252746582,17.10234832763672,3.721754550933838,2.281790018081665,11.098803520202637,,,,
0.001,429,,,,,,,,,,,
,429,0.2511117160320282,3,,,,,,,,,
0.001,439,,,,,,,,,,,
,439,0.2606911361217499,3,,,,,,,,,
0.001,449,,,,,,,,,,,
,449,0.37080228328704834,3,,,,,,,,,
0.001,459,,,,,,,,,,,
,459,0.2976108193397522,3,,,,,,,,,
0.001,469,,,,,,,,,,,
,469,0.30855056643486023,3,,,,,,,,,
0.001,479,,,,,,,,,,,
,479,0.1824246197938919,3,,,,,,,,,
,479,,3,0.8858250975608826,17.412494659423828,3.9654407501220703,2.0824103355407715,11.364643096923828,,,,
,479,,3,,,,,,9.160053253173828,3.123495578765869,2.3725364208221436,3.6640212535858154
0.001,489,,,,,,,,,,,
,489,0.2911396920681,4,,,,,,,,,
0.001,499,,,,,,,,,,,
,499,0.22194521129131317,4,,,,,,,,,
0.001,509,,,,,,,,,,,
,509,0.22137688100337982,4,,,,,,,,,
0.001,519,,,,,,,,,,,
,519,0.24966846406459808,4,,,,,,,,,
0.001,529,,,,,,,,,,,
,529,0.2597983181476593,4,,,,,,,,,
0.001,539,,,,,,,,,,,
,539,0.17892085015773773,4,,,,,,,,,
,539,,4,0.9101325273513794,17.368186950683594,3.322995185852051,1.9494904279708862,12.095702171325684,,,,
0.001,549,,,,,,,,,,,
,549,0.2151447981595993,4,,,,,,,,,
0.001,559,,,,,,,,,,,
,559,0.3664911091327667,4,,,,,,,,,
0.001,569,,,,,,,,,,,
,569,0.3443372845649719,4,,,,,,,,,
0.001,579,,,,,,,,,,,
,579,0.2769187092781067,4,,,,,,,,,
0.001,589,,,,,,,,,,,
,589,0.23244637250900269,4,,,,,,,,,
0.001,599,,,,,,,,,,,
,599,0.3001945912837982,4,,,,,,,,,
,599,,4,0.9439530372619629,16.991580963134766,3.5002214908599854,2.215330123901367,11.276030540466309,,,,
,599,,4,,,,,,8.930410385131836,3.039496898651123,2.1251766681671143,3.7657363414764404
0.001,609,,,,,,,,,,,
,609,0.3077954947948456,5,,,,,,,,,
0.001,619,,,,,,,,,,,
,619,0.23064973950386047,5,,,,,,,,,
0.001,629,,,,,,,,,,,
,629,0.32574355602264404,5,,,,,,,,,
0.001,639,,,,,,,,,,,
,639,0.24499987065792084,5,,,,,,,,,
